Nombre total de vélos,Adr_emplacement,latitude,longitude,geo_shape,geo_point_2d
4,79 AV DU DOCTEUR ARNOLD NETTER Paris 12,48.89102190253664,2.34971966175603,"{""coordinates"": [2.406140862601557, 48.84638659702496], ""type"": ""Point""}","48.84638659702496, 2.406140862601557"
2,223 RUE DE BERCY Paris 12,48.85201053039742,2.2857999604143653,"{""coordinates"": [2.370358592588954, 48.84613821865117], ""type"": ""Point""}","48.84613821865117, 2.370358592588954"
10,8 RUE DE L' AMIRAL LA RONCIERE LE NOURY Paris 12,48.88262123620287,2.350251895092851,"{""coordinates"": [2.408760665421228, 48.83608901175297], ""type"": ""Point""}","48.83608901175297, 2.408760665421228"
5,22 BD DIDEROT Paris 12,48.873558323927206,2.3651050759295074,"{""coordinates"": [2.3745158956724763, 48.84588322354277], ""type"": ""Point""}","48.84588322354277, 2.3745158956724763"
10,58 AV DAUMESNIL Paris 12,48.88309041079045,2.3614021355567054,"{""coordinates"": [2.379599317469821, 48.84528435685906], ""type"": ""Point""}","48.84528435685906, 2.379599317469821"
8,1 RUE DE LA VOUTE Paris 12,48.851157653190754,2.3250822491408187,"{""coordinates"": [2.4060143324690584, 48.84489663846275], ""type"": ""Point""}","48.84489663846275, 2.4060143324690584"
12,95 RUE DE CHARENTON Paris 12,48.860515504511746,2.3012430823303265,"{""coordinates"": [2.3769787040035757, 48.84780306140703], ""type"": ""Point""}","48.84780306140703, 2.3769787040035757"
8,97 RUE DE CHARENTON Paris 12,48.89909272953721,2.386811565216926,"{""coordinates"": [2.377223357972569, 48.8476521461443], ""type"": ""Point""}","48.8476521461443, 2.377223357972569"
12,218 RUE DU FAUBOURG SAINT-ANTOINE Paris 12,48.83937242075265,2.331872995148899,"{""coordinates"": [2.3872793322208525, 48.849654894419295], ""type"": ""Point""}","48.849654894419295, 2.3872793322208525"
8,22 RUE PAUL BELMONDO Paris 12,48.882493244832105,2.3740690521953507,"{""coordinates"": [2.3836232176657113, 48.83562818393014], ""type"": ""Point""}","48.83562818393014, 2.3836232176657113"
12,13 RUE VILLIOT Paris 12,48.83821629279509,2.412409755593489,"{""coordinates"": [2.3751737820930674, 48.84155481009753], ""type"": ""Point""}","48.84155481009753, 2.3751737820930674"
7,10 RUE EUGENIE EBOUE Paris 12,48.8505457441952,2.357744959130631,"{""coordinates"": [2.386039728301593, 48.845650514171574], ""type"": ""Point""}","48.845650514171574, 2.386039728301593"
8,1 PAS STINVILLE Paris 12,48.84035963799621,2.2599287669395,"{""coordinates"": [2.3885407375753918, 48.84407399216942], ""type"": ""Point""}","48.84407399216942, 2.3885407375753918"
8,34 BD DE PICPUS Paris 12,48.86472210610949,2.372703476951512,"{""coordinates"": [2.4013392591292306, 48.84188245288217], ""type"": ""Point""}","48.84188245288217, 2.4013392591292306"
8,18 AV DU DOCTEUR ARNOLD NETTER Paris 12,48.84570831361154,2.3195301486568622,"{""coordinates"": [2.405104416032141, 48.84218363624972], ""type"": ""Point""}","48.84218363624972, 2.405104416032141"
18,29 BD PONIATOWSKI Paris 12,48.85006028950512,2.337154343548914,"{""coordinates"": [2.3992707111028952, 48.83249722274787], ""type"": ""Point""}","48.83249722274787, 2.3992707111028952"
20,11 RUE EMILE GILBERT Paris 12,48.89856003280805,2.3231448539462223,"{""coordinates"": [2.373089295784982, 48.84668568283444], ""type"": ""Point""}","48.84668568283444, 2.373089295784982"
6,8 RUE DE PICPUS Paris 12,48.85529155759278,2.405411523489854,"{""coordinates"": [2.393057940483077, 48.84785880628626], ""type"": ""Point""}","48.84785880628626, 2.393057940483077"
18,11 AV LEDRU-ROLLIN Paris 12,48.86118448915476,2.3030123681697994,"{""coordinates"": [2.3686085842028732, 48.84649830082346], ""type"": ""Point""}","48.84649830082346, 2.3686085842028732"
8,54 AV LEDRU-ROLLIN Paris 12,48.89115227166099,2.3865735753107007,"{""coordinates"": [2.3720612168481705, 48.848249578778045], ""type"": ""Point""}","48.848249578778045, 2.3720612168481705"
8,96 RUE DU FAUBOURG SAINT-ANTOINE Paris 12,48.8843212849661,2.302969964101949,"{""coordinates"": [2.375822699596708, 48.85134289475564], ""type"": ""Point""}","48.85134289475564, 2.375822699596708"
4,91 AV SAINTE-MARIE Paris 12,48.87392668754283,2.34533839878682,"{""coordinates"": [2.4117298831008376, 48.83436903105464], ""type"": ""Point""}","48.83436903105464, 2.4117298831008376"
3,11 RUE MONTGALLET Paris 12,48.87842234671684,2.297866811497096,"{""coordinates"": [2.386815801528955, 48.843107347353985], ""type"": ""Point""}","48.843107347353985, 2.386815801528955"
16,18 RUE DE PICPUS Paris 12,48.87804412356076,2.301458410871576,"{""coordinates"": [2.3943077832219006, 48.84639534051906], ""type"": ""Point""}","48.84639534051906, 2.3943077832219006"
17,91 AV DU DOCTEUR ARNOLD NETTER Paris 12,48.88819358746076,2.3164557043677236,"{""coordinates"": [2.4062689523116485, 48.847021469132685], ""type"": ""Point""}","48.847021469132685, 2.4062689523116485"
20,86 BD DIDEROT Paris 12,48.84499798061941,2.4013496771668743,"{""coordinates"": [2.383302418022339, 48.84687573974783], ""type"": ""Point""}","48.84687573974783, 2.383302418022339"
4,189 AV DAUMESNIL Paris 12,48.883733454882844,2.2822174267827093,"{""coordinates"": [2.3938042404204407, 48.84011832063853], ""type"": ""Point""}","48.84011832063853, 2.3938042404204407"
8,2 RUE DU CHAROLAIS Paris 12,48.85881024863155,2.384223179688917,"{""coordinates"": [2.3879461111392253, 48.839163702317315], ""type"": ""Point""}","48.839163702317315, 2.3879461111392253"
6,8 AV DU DOCTEUR ARNOLD NETTER Paris 12,48.853775327710686,2.310483558590779,"{""coordinates"": [2.4049020167626756, 48.84145341899749], ""type"": ""Point""}","48.84145341899749, 2.4049020167626756"
2,34 RUE NICOLAI Paris 12,48.8854758410535,2.3845464103059153,"{""coordinates"": [2.395236204097862, 48.83665007689567], ""type"": ""Point""}","48.83665007689567, 2.395236204097862"
16,6 PL DE LA NATION Paris 12,48.86548858953418,2.2724860140013754,"{""coordinates"": [2.394947474401487, 48.84760699222367], ""type"": ""Point""}","48.84760699222367, 2.394947474401487"
6,2 RUE DUGOMMIER Paris 12,48.864101950484184,2.277982393481276,"{""coordinates"": [2.3901935634552536, 48.8393821309373], ""type"": ""Point""}","48.8393821309373, 2.3901935634552536"
18,39 RUE CROZATIER Paris 12,48.86500861130531,2.3690340010373094,"{""coordinates"": [2.3811658968196308, 48.84757334896351], ""type"": ""Point""}","48.84757334896351, 2.3811658968196308"
28,180 RUE DU FAUBOURG SAINT-ANTOINE Paris 12,48.87138852540096,2.3156563271201174,"{""coordinates"": [2.3826807738344153, 48.85024465683013], ""type"": ""Point""}","48.85024465683013, 2.3826807738344153"
4,9 AV CHARLES DE FOUCAULD Paris 12,48.845493855941584,2.3501483630058524,"{""coordinates"": [2.405392118870687, 48.83324857223932], ""type"": ""Point""}","48.83324857223932, 2.405392118870687"
