Régime prioritaire,Régime particulier,Nombre total de vélos,Arrondissement,Adr_emplacement,latitude,longitude
2 ROUES,Vélos,6,14,14 RUE D' ALEMBERT Paris 14,48.87814720349602,2.3514405694698373
2 ROUES,Vélos,4,11,2 IMP DELAUNAY Paris 11,48.84471293107949,2.296788710915609
2 ROUES,Vélos,17,18, RUE RIQUET Paris 18,48.872716353838655,2.3944531012031285
2 ROUES,Vélos,10,20,251 AV GAMBETTA Paris 20,48.87267065119216,2.395283647049977
2 ROUES,Vélos,8,19,34 RUE DU PLATEAU Paris 19,48.86533001240255,2.374054342066966
2 ROUES,Vélos,20,20, RUE D' AVRON Paris 20,48.841927560154474,2.281911429001835
2 ROUES,Vélos,6,5,14 RUE POLIVEAU Paris 5,48.84612064705893,2.368196690076484
2 ROUES,Vélos,8,15,2 RUE EUGENE MILLON Paris 15,48.83699530918363,2.391884921630588
2 ROUES,Vélos,8,13,5 RUE OLIVIER MESSIAEN Paris 13,48.869767571744774,2.3850549622776738
2 ROUES,Vélos,7,10,124 BD DE MAGENTA Paris 10,48.86386317720631,2.371520401083033
2 ROUES,Vélos,14,5,5 QU DE MONTEBELLO Paris 5,48.83303713717947,2.357101279469262
2 ROUES,Vélos,8,14,15 BD JOURDAN Paris 14,48.8407825702824,2.287701795412096
2 ROUES,Vélos,4,15, RUE JULES DUPRE Paris 15,48.83386881360549,2.395282598766271
2 ROUES,Vélos,6,13,28 BD KELLERMANN Paris 13,48.86391651083722,2.3818103006003795
2 ROUES,Vélos,6,17,72 RUE POUCHET Paris 17,48.86767956734664,2.3604533570929327
2 ROUES,Vélos,3,18,71 BD BARBES Paris 18,48.865345003372596,2.352374325968166
2 ROUES,Vélos,2,15,74 RUE BALARD Paris 15,48.86383562341286,2.3524115722736436
2 ROUES,Vélos,4,9,1 RUE BALLU Paris 9,48.839857248615345,2.3368210036732746
2 ROUES,Vélos,24,19,2 RUE DE NANTES Paris 19,48.85109091464033,2.376065963037736
2 ROUES,Vélos,7,3,15 RUE SAINT-CLAUDE Paris 3,48.8488303684264,2.3120078182920283
2 ROUES,Vélos,3,18,9 BD BARBES Paris 18,48.83743026174806,2.2581014175286267
2 ROUES,Vélos,5,2,3 RUE DE MULHOUSE Paris 2,48.831521092167314,2.3301927409674836
